Day,Open,High,Low,Close,Adj Close,Volume
1,25124.91016,25179.00977,24884.18945,24964.75,24964.75,421510000
2,24988.06055,25267.99023,24792.99023,24797.7793,24797.7793,456070000
3,24855.41016,25156.7207,24854.83008,24962.48047,24962.48047,378900000
4,25050.50977,25313.91016,25028.73047,25309.99023,25309.99023,335420000
5,25403.34961,25732.80078,25398.56055,25709.26953,25709.26953,473360000
6,25735.7793,25800.34961,25407.83008,25410.0293,25410.0293,438390000
7,25485.15039,25576.15039,25022.41992,25029.19922,25029.19922,451870000
8,25024.03906,25185.34961,24442.56055,24608.98047,24608.98047,506280000
9,24394.91016,24592.46094,24217.75977,24538.06055,24538.06055,437130000
10,24471.31055,24961,24387.15039,24874.75977,24874.75977,383910000
11,24965.89063,24995.24023,24708.41016,24884.11914,24884.11914,331770000
12,24758.15039,24849.67969,24535.11914,24801.35938,24801.35938,394070000
13,24853.41016,24950.49023,24703.05078,24895.21094,24895.21094,327300000
14,25004.89063,25336.33008,25004.89063,25335.74023,25335.74023,371570000
15,25372.43945,25449.15039,25152.01953,25178.60938,25178.60938,362580000
16,25257.75,25376.40039,24947.5,25007.0293,25007.0293,447880000
17,25086.9707,25130.11914,24668.83008,24758.11914,24758.11914,356830000
18,24837.28906,25053.86914,24753.28906,24873.66016,24873.66016,316310000
19,24877.33984,25031,24857.08984,24946.50977,24946.50977,654240000
20,24893.68945,24893.68945,24608.00977,24637.58984,24637.58984,119903165
